ID,Title,Content
23,Penalties for giving false warranty or misuse of warranty ," Whoever in respect of any drug sold by him whether as principal or agent, gives to the purchaser a false warranty that the drug does not in any way contravene the provisions of section 18 shall, unless he proves that when he gave the warranty he had good reason to believe the same to be true, be punishable with imprisonment which may extend to one year, or with fine which may extend to five hundred Taka, or with both. "
24,Penalties for giving false warranty or misuse of warranty ,"Whoever in respect of any drug sold by him whether as principal or agent, gives to the purchaser a false warranty that the drug does not in any way contravene the provisions of section 18 shall, unless he proves that when he gave the warranty he had good reason to believe the same to be true, be punishable with imprisonment which may extend to one year, or with fine which may extend to five hundred Taka, or with both."
25,Penalty for use of Government Analyst's report for advertising,"Whoever uses any report of a test or analysis made by the Central Drugs Laboratory or by a Government Analyst, or any extract from such report for the purpose of advertising any drug, shall be punishable with fine which may extend to five hundred Taka. "
26,Penalty for subsequent offenses ,"Whoever, having been convicted of an offense under section 27, is again convicted of an offense under that section shall be punishable with imprisonment which may extend to five years, or with fine, or with both.(2) Whoever, having been convicted of an offense under section 28 or section 29, is again convicted of an offense under either of those sections shall be punishable with imprisonment which may extend to two years, or with fine, or with both. "
31,Enhanced punishment in certain cases," [20A. Notwithstanding anything contained in this Act, whoever goes armed with a pistol, revolver, rifle of 2 [shot gun or other fire-arm] in contravention of the provision of section 13, or has any such fire-arm in his possession or under his control in contravention of the provisions of section 14 or section 15, under circumstances indicting that he intended that such fire-arm should be used for the commission of any offense of murder shall 3 [* * *] be punished with death, or with transportation for life or any shorter term or with imprisonment for a term which may extend to fourteen years, to which fine may be added.] "
32,For breach of license,"Whoever, in violation of a condition subject to which a license has been granted, does or omits to do any act shall, when doing or omitting to do such act is not punishable under section 19 or section 20, be punished with imprisonment for a term which may extend to six months, or with fine which may extend to five hundred taka or with both. "
33,"For knowingly purchasing arms, etc., from unlicensed person For delivering arms, etc., to person not authorized to possess them","Whoever knowingly purchases any arms, ammunition or military stores from any person not licensed or authorized under the proviso to section 5 to sell the same; or delivers any arms, ammunition or military stores into the possession of any person without previously ascertaining that such person is legally authorized to possess the same, shall be punished with imprisonment for a term which may extend to six months, or with fine which may extend to five hundred taka, or with both. "
34,Penalty for breach of rule,"Any person violating any rule made under this Act, and for the violation of which no penalty is provided by this Act, shall be punished with imprisonment for a term which may extend to one month, or with fine which may extend to two hundred taka, or with both."
35,"For breach of sections 5, 6, 10, 13 to 17 ","Whoever commits any of the following offenses (namely): - (a) manufactures, converts or sells, or keeps, offers or exposes for sale, any arms, ammunition or military stores in contravention of the provisions of section 5; (b) fails to give notice as required by the same section; (c) imports or exports any arms, ammunition or military stores in contravention of the provisions of section 6; (d) transports any arms, ammunition or military stores in contravention of a regulation or prohibition issued under section 10; (e) goes armed in contravention of the provisions of section 13;(f) has in his possession or under his control any arms, ammunition or military stores in contravention of the provisions of section 14 or section 15; (g) intentionally makes any false entry in a record or account which, by a rule made under section 17, clause (c), he is required to keep; (h) intentionally fails to exhibit anything which, by a rule made under section 17, clause (e), he is required to exhibit; or (i) fails to deposit arms, ammunition or military stores, as required by section 14 or section 16; shall be punished with 1 [imprisonment for life or any other rigorous imprisonment which shall not be less then seven years,]. "
36,"For breaches of sections 6, 13, 14 and 15 in respect of certain arms","Notwithstanding anything contained in section 19, whoever commits an offense under clause (a), (c), (e) or (f) of section 19 shall, if the offense is committed in respect of a pistol, revolver, rifle  2 [shot gun or other fire-arm] be punished with  3 [imprisonment for life or rigorous imprisonment for a term which shall not be less than ten years].]"
37,"For secret breaches of sections 5, 6, 10, 14 and 15","Whoever does any act mentioned in clause (a), (c), (d) or (f) of section 19, in such manner as to indicate an intention that such act may not be known to any public servant as defined in the 1 [* * *] Penal Code, or to any person employed upon a railway or to the servant of any public carrier, "
41,"Penalty for owning or keeping, or having charge of common gaming-house ","Whoever, being the owner or occupier, or having the use, of any house, tent, room, space or walled enclosure, situate within the limits to which this Act applies, opens, keeps or uses the same as a common gaming-house; and whoever, being the owner or occupier of any such house, tent, room, space or walled enclosure as aforesaid, knowingly or wilfully permits the same to be opened, occupied, used or kept by any other person as a common gaming-house; and whoever has the care or management of, or in any manner assists in conducting, the business of any house, tent, room, space or walled enclosure as aforesaid, opened, occupied, used or kept for the purpose aforesaid; and whoever advances or furnishes money for the purpose of gaming with persons frequenting such house, tent, room, space or walled enclosure, shall be liable, on conviction before any Magistrate to a fine not exceeding two hundred taka, or to imprisonment of either description, as defined in the 2[Penal Code] for any term not exceeding three months. "
42,Penalty for being found in common gaming-house ,"Whoever is found in any such house, tent, room, space, or walled enclosure, playing or gaming with cards, dice, counters, money or other instruments of gaming, or is found there present for the purpose of gaming, whether playing for any money, wager, stake or otherwise, shall be liable, on conviction before any Magistrate, to a fine not exceeding one hundred taka or to imprisonment of either description, as defined in the 2[Penal Code], for any term not exceeding one month; and any person found in any common gaming-house during any gaming or playing therein shall be presumed, until the contrary be proved, to have been there for the purpose of gaming. "
43,Penalty for giving false name or address ,"If any person found in any common gaming-house entered by any Magistrate or officer of police under the provisions of this Act, upon being arrested by any such officer, or upon being brought before any Magistrate, on being required by such officer or Magistrate to give his name and address, shall refuse or neglect to give the same, or shall give any false name or address, he may, upon conviction before the same or any other Magistrate, be adjudged to pay any penalty not exceeding five hundred taka, together with such costs as to such Magistrate shall appear reasonable, and on the non-payment of such penalty and costs, or in the first instance if to such Magistrate it shall seem fit, may be imprisoned for any period not exceeding one month. "
44,Penalty for subsequent offence ,"Whoever, having been convicted of an offence punishable under this Act, shall be guilty of any such offence, shall be subject for every such subsequent offence to double the amount of punishment to which he would otherwise have been liable for the same: Provided that he shall not be liable in any case to a fine exceeding six hundred taka, or to imprisonment for a term exceeding one year. "
45,Penalty for the security act,"If any person, for the purpose of obtaining for himself or for any other person payment of interest or of the capital sum due in respect of any Government security, or the issue of a duplicate security, or the renewal, conversion consolidation or sub-division of a Government security or securities, makes to any authority under this Act a statement which is false and which he either knows to be false or does not believe to be true, he shall be punishable with imprisonment for a term which may extend to six months, or with fine, or with both.
 
 
(2) No Court shall take cognizance of any offence under sub-section (1) save on the complaint of the authority to whom the false statement was made. "
,Punishment for rape ,"Whoever commits rape shall be punished with 2[imprisonment] for life or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine, unless the woman raped is his own wife and is not under twelve years of age, in which case he shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both. "
,"Waging or attempting to wage war, or abeting waging of war, against Bangladesh"," Whoever wages war against Bangladesh, or attempts to wage such war, or abets the waging of such war, shall be punished with death, or 2[imprisonment] for life, and shall also be liable to fine.Illustration A joins an insurrection against Bangladesh. A has committed the offence defined in this section"
,Conspiracy to commit offences punishable by section 121. ,"Whoever within or without Bangladesh conspires to commit any of the offences punishable by section 121, or to deprive Bangladesh of the sovereignty of her territories or of any part thereof, or conspires to overawe, by means of criminal force or the show of criminal force, the Government, shall be punished with 3[imprisonment for life] or with imprisonment of either description which may extend to ten years, and shall also be liable to fine.]
 
 
Explanation.-To constitute a conspiracy under this section, it is not necessary that any act or illegal omission shall take place in pursuance. "
,"Collecting arms, etc., with intention of waging war against Bangladesh","Whoever collects men, arms or ammunition or otherwise prepares to wage war with the intention of either waging or being prepared to wage war against Bangladesh, shall be punished with 2[imprisonment] for life or imprisonment of either description for a term not exceeding ten years, and shall also be liable to fine. "
,Concealing with intent to facilitate design to wage war,"Whoever, by any act, or by any illegal omission, conceals the existence of a design to wage war against Bangladesh, intending by such concealment to facilitate, or knowing it to be likely that such concealment will facilitate the waging of such war, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine. "
,"Condemnation of the creation of the State, and advocacy of abolition of its sovereignty","Whoever, with or without Bangladesh, with intent to influence, or knowing it to be likely that he will influence, any person or the whole or any section of the public, in a manner likely to be prejudicial to the safety of Bangladesh, or to endanger the sovereignty of Bangladesh in respect of all or any of the territories lying within its borders, shall by words, spoken or written, or by signs or visible representation, condemn the creation of Bangladesh 3[in pursuance of the Proclamation of Independence on the twenty-sixth day of March, 1971], or advocate the curtailment or abolition of the sovereignty of Bangladesh in respect of all or any of the territories lying within its borders, whether by amalgamation with the territories of neighboring States or otherwise, shall be punished with rigorous imprisonment which may extend to ten years and shall also be liable to fine.
 
 
(2) Notwithstanding anything contained in any other law for the time being in force, when any person is proceeded against under this section, it shall be lawful for any Court before which he may be produced in the course of the investigation or trial, to make such order as it may think fit in respect of his movements, of his association or communication with other persons, and of his activities in regard to dissemination of news, propagation of opinions, until such time as the case is finally decided.]
 
 
(3) Any Court which is a Court of appeal or of revision in relation to the Court mentioned in sub-section (2) may also make an order under that sub-section.] "
,"Assaulting President, The Government, etc., with intent to compel or restrain the exercise of any lawful power ","Whoever, with the intention of inducing or compelling the President of Bangladesh, or 2[the Government], to exercise or refrain from exercising in any manner any of the lawful powers of the President, or 3[the Government],
 
 
assaults, or wrongfully restrains, or attempts wrongfully to restrain, or overawes, by means of criminal force or the show of criminal force, or attempts so to overawe, the President, 4[* * *],
 
 
shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine. "
,Waging war against any Asiatic Power in alliance with Bangladesh,"Whoever wages war against the Government of any Asiatic power in alliance or at peace with Bangladesh or attempts to wage such war, or abets the waging of such war, shall be punished with 2[imprisonment] for life, to which fine may be added, or with imprisonment of either description for a term which may extend to seven years, to which fine may be added, or with fine. "
,Committing depredation on territories of Power at peace with Bangladesh,"Whoever commits depredation, or makes preparations to commit depredation, on the territories of any Power in alliance or at peace with Bangladesh, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine and to forfeiture of any property used or intended to be used in committing such depredation, or acquired by such depredation."
,Receiving property taken by war or depredation mentioned in sections 125 and 126 ,"Whoever receives any property knowing the same to have been taken in the commission of any of the offences mentioned in sections 125 and 126, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine and to forfeiture of the property so received. "
,Public servant voluntarily allowing prisoner of State or war to escape,"Whoever, being a public servant and having the custody of any State prisoner or prisoner of war, voluntarily allows such prisoner to escape from any place in which such prisoner is confined, shall be punished with 2[imprisonment] for life, or imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine. "
,Public servant negligently suffering such prisoner to escape,"Whoever, being a public servant and having the custody of any State prisoner or prisoner of war, negligently suffers such prisoner to escape from any place of confinement in
 
 
which such prisoner is confined, shall be punished with simple imprisonment for a term which may extend to three years, and shall also be liable to fine. "
,"Aiding escape of, rescuing or harbouring such prisoner","Whoever knowingly aids or assists any State prisoner or prisoner of war in escaping from lawful custody, or rescues or attempts to rescue any such prisoner, or harbours or conceals any such prisoner who has escaped from lawful custody, or offers or attempts to offer any resistance to the recapture of such prisoner shall be punished with 2[imprisonment] for life, or with imprisonment of either description for a term which may extend to ten years and shall also be liable to fine.
 
 
Explanation.-A State prisoner or prisoner of war, who is permitted to be at large on his parole within certain limits in Bangladesh, is said to escape from lawful custody if he goes beyond the limits within which he is allowed to be at large. "
,"Abetting mutiny, or attempting to seduce a soldier, sailor or airman from his duty","Whoever abets the committing of mutiny by an officer, soldier, sailor or airman, in the Army, Navy or Air Force of Bangladesh, or attempts to seduce any such officer, soldier, sailor or airman from his allegiance or his duty, shall be punished with 2[imprisonment] for life, or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine. "
,"Abetment of mutiny, if mutiny is committed in consequence thereof","Whoever abets the committing of mutiny by an officer, soldier, sailor or airman, in the Army, Navy or Air Force of Bangladesh, shall, if mutiny be committed in consequence of that abetment, be punished with death or with 2[imprisonment] for life, or imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine."
,"Abetment of assault by soldier, sailor or airman on his superior officer, when in execution of his office ","Whoever, abets an assault by an officer, soldier, sailor or airman, in the Army, Navy or Air Force of Bangladesh, on any superior officer being in the execution of his office, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine. "
,"Abetment of such assault, if the assault is committed","Whoever, abets an assault by an officer, soldier sailor or airman, in the Army, Navy or Air Force of Bangladesh, on any superior officer being in the execution of his office, shall, if such assault be committed in consequence of that abetment be punished with imprisonment of either description for a term which may extend to seven years, and shall be liable to fine."
,"Abetment of desertion of soldier, sailor or airman ","Whoever abets the desertion of any officer, soldier, sailor or airman, in the Army, Navy or Air Force of Bangladesh, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both. "
,Harbouring deserter,"Whoever, except as hereinafter excepted, knowing or having reason to believe that an officer, soldier, sailor or airman, in the Army, Navy or Air Force of Bangladesh, has deserted, harbours such officer, soldier, sailor or airman, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.
 
 
Exception.-This provision does not extend to the case in which the harbour is given by a wife to her husband. "
,Deserter concealed on board merchant vessel through negligence of master,"The master or person in charge of a merchant vessel, on board of which any deserter from the Army, Navy or Air Force of Bangladesh is concealed, shall, though ignorant of such concealment, be liable to a penalty not exceeding five hundred taka if he might have known of such concealment but for some neglect of his duty as such master or person in charge, or but for some want of discipline on board of the vessel. "
,"Abetment of act of insubordination by soldier, sailor or airman","Whoever abets what he knows to be an act of insubordination by an officer, soldier, sailor or airman, in the Army, Navy or Air Force of Bangladesh, shall, if such act of insubordination be committed in consequence of that abetment, be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both. "
,"Wearing garb or carrying token used by soldier, sailor or airman"," Whoever, not being a soldier, sailor or airman in the Military, Naval or Air service of Bangladesh, wears any garb or carries any token resembling any garb or token used by such a soldier, sailor or airman with the intention that it may be believed that he is such a soldier, sailor or airman, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to five hundred taka or with both.
 "
,Unlawful assembly,"An assembly of five or more persons is designated an ""unlawful assembly,"" if the common object of the persons composing that assembly is
 
 
First.-To overawe by criminal force, or show of criminal force, Government or Legislature, or any public servant in the exercise of the lawful power of such public servant; or
 
 
Second.-To resist the execution of any law, or of any legal process; or
 
 
Third.To commit any mischief or criminal trespass, or other offence; or
 
 
Fourth.-By means of criminal force, or show of criminal force, to any person to take or obtain possession of any property, or to deprive any person of the enjoyment of a right of way, or of the use of water or other incorporeal right of which he is in possession or enjoyment, or to enforce any right or supposed right; or
 
 
Fifth.-By means of criminal force, or show of criminal force, to compel any person to do what he is not legally bound to do, or to omit to do what he is legally entitled to do.
 
 
Explanation.-An assembly which was not unlawful when it assembled, may subsequently become an unlawful assembly. "
,Punishment of being a member of an unlawful assembly,"Whoever is a member of an unlawful assembly, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both. "
,"Joining unlawful assembly, armed with deadly weapon ","Whoever, being armed with any deadly weapon, or with anything which, used as a weapon of offence, is likely to cause death, is a member of an unlawful assembly, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both. "
,"Joining or continuing in unlawful assembly, knowing it has been commanding to disperse","Whoever joins or continues in an unlawful assembly, knowing that such unlawful assembly has been commanded in the manner prescribed by law to disperse, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both"
,Punishment for rioting,"Whoever is guilty of rioting, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both. "
,"Rioting, armed with deadly weapon ","Whoever is guilty of rioting, being armed with a deadly weapon or with anything which, used as a weapon of offence, is likely to cause death, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both. "
,Knowingly joining or continuing in assembly of five or more persons after it has been commanded to disperse ,"Whoever knowingly joins or continues in any assembly of five or more persons likely to cause a disturbance of the public peace, after such assembly has been lawfully commanded to disperse, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both.
 
 
Explanation.-If the assembly is an unlawful assembly within the meaning of section 141, the offender will be punishable under section 145. "
,"Assaulting or obstructing public servant when suppressing riot, etc.","Whoever assaults or threatens to assault, or obstructs or attempts to obstruct, any public servant in the discharge of his duty as such public servant, in endeavouring to disperse an unlawful assembly, or to suppress a riot or affray, or uses, or threatens, or attempts to use criminal force to such public servant, shall be punished with imprisonment of either description for a term which may extend to three years or with fine, or with both."
,Wantonly giving provocation with intent to cause riot- if rioting be committed; if not committed ,"Whoever malignantly, or wantonly, by doing anything which is illegal, gives provocation to any person intending or knowing it to be likely that such provocation will cause the offence of rioting to be committed, shall, if the offence of rioting be committed in consequence of such provocation, be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both; and if the offence of rioting be not committed, with imprisonment of either description for a term which may extend to six months, or with fine, or with both"
,Promoting enmity between classes ,"Whoever by words, either spoken or written, or by signs, or by visible representations, or otherwise, promotes or attempts to promote feelings of enmity or hatred between different classes of the citizens of Bangladesh, shall be punished with imprisonment which may extend to two years, or with fine, or with both.]
 
 
Explanation.-It does not amount to an offence within the meaning of this section to point out, without malicious intention and with an honest view to their removal, matters which are producing or have a tendency to produce, feelings of enmity or hatred between different classes of the citizens of Bangladesh"
,"Inducing students, etc. to take part in political activity ","Whoever by words, either spoken or written, or by signs, or by visible representations, or otherwise, induce or attempts to induce any student, or any class of students, or any institution interested in or connected with students, to take part in any political activity which disturbs or undermines, or is likely to disturb or undermine, the public order shall be punished with imprisonment which may extend to two years or with fine, or with both"
,Harbouring persons hired for an unlawful assembly,"Whoever harbours, receives or assembles, in any house or premises in his occupation or charge, or under his control any persons, knowing that such persons have been hired, engaged or employed, or are about to be hired, engaged or employed, to join or become members of an unlawful assembly, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both"
,Being hired to take part in an unlawful assembly or riot; or to go armed ,"Whoever is engaged or hired, or offers or attempts to be hired or engaged, to do or assist in doing any of the acts specified in section 141, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both."
,Being hired to take part in an unlawful assembly or riot; or to go armed(2),"whoever, being so engaged or hired as aforesaid, goes armed, or engages or offers to go armed, with any deadly weapon or with anything which used as a weapon of offence is likely to cause death, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both"
,Punishment for committing affray,"Whoever commits an affray, shall be punished with imprisonment of either description for a term which may extend to one month, or with fine which may extend to one hundred taka, or with both"
,"Taking gratification, in order, by corrupt or illegal means, to influence public servant ","Whoever accepts or obtains, or agrees to accept, or attempts to obtain, from any person, for himself or for any other person, any gratification whatever as a motive or reward for inducing, by corrupt or illegal means, any public servant to do or to forbear to do any official act, or in the exercise of the official functions of such public servant to show favour or disfavour to any person, or to render or attempt to render any service or disservice to any person with the Government or Legislature, or with any public servant, as such, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both"
,Punishment for abetment by public servant of offences defined in section 162 or 163,"Whoever, being a public servant, in respect of whom either of the offences defined in the last two preceding sections is committed, abets the offence, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.
 
 
Illustration"
,Punishment for abetment by public servant of offences defined in section 162 or 163 (2),"A is a public servant. B, A's wife, receives a present as a motive for soliciting A to give an office to a particular person. A abets her doing so. B is punishable with imprisonment for a term not exceeding one year, or with fine, or with both. A is punishable with imprisonment for a term which may extend to three years, or with fine, or with both."
,"Public servant disobeying law, with intent to cause injury to any person","Whoever, being a public servant, knowingly disobeys any direction of the law as to the way in which he is to conduct himself as such public servant, intending to cause, or knowing it to be likely that he will, by such disobedience, cause injury to any person, shall be punished with simple imprisonment for a term which may extend to one year, or with fine, or with both."
,Public servant framing an incorrect document with intent to cause injury ,"Whoever, being a public servant, and being, as such public servant, charged with the preparation or translation of any document, frames or translates that document in a manner which he knows or believes to be incorrect, intending thereby to cause or knowing it to be likely that he may thereby cause injury to any person, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both"
,Public servant unlawfully engaging in trade ,"Whoever, being a public servant, and being legally bound as such public servant not to engage in trade, engages in trade, shall be punished with simple imprisonment for a term which may extend to one year, or with fine, or with both. "
,Public servant unlawfully buying or bidding for property,"Whoever, being a public servant, and being legally bound as such public servant, not to purchase or bid for certain property, purchases or bids for that property, either in his own name or in the name of another, or jointly, or in shares with others, shall be punished with simple imprisonment for a term which may extend to two years, or with fine, or with both; and the property, if purchased, shall be confiscated. "
,Personating a public servant ,"Whoever pretends to hold any particular office as a public servant, knowing that he does not hold such office or falsely personates any other person holding such office, and in such assumed character does or attempts to do any act under colour of such office, shall be punished with imprisonment of either description, for a term which may extend to two years, or with fine, or with both"
,Wearing garb or carrying token used by public servant with fraudulent intent ,"Whoever, not belonging to a certain class of public servants, wears any garb or carries any token resembling any garb or token used by that class of public servants, with the intention that it may be believed, or with the knowledge that it is likely to be believed, that he belongs to that class of public servants, shall be punished with imprisonment of either description, for a term which may extend to three months, or with fine which may extend to two hundred taka, or with both."
,"Injuring or defiling place of worship, with intent to insult the religion of any class "," Whoever destroys, damages or defiles any place of worship, or any object held sacred by any class of persons with the intention of thereby insulting the religion of any class of persons or with the knowledge that any class of persons is likely to consider such destruction, damage or defilement as an insult to their religion, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both. "
,Deliberate and malicious acts intended to outrage religious feelings of any class by insulting its religion or religious beliefs ,"Whoever, with deliberate and malicious intention of outraging the religious feelings of any class of the citizens of Bangladesh, by words, either spoken or written, or by visible representations insults or attempts to insult the religion or the religious beliefs of that class, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both."
,Disturbing religious assembly ,"Whoever voluntarily causes disturbance to any assembly lawfully engaged in the performance of religious worship, or religious ceremonies, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both. "
